countyId,countyName,oldSubCountyId,oldSubCountyName,targetSubCountyId,targetSubCountyName,expectedWardCount,movedWardCount,oldWardCountAfter,targetWardCountAfter,oldFarmersAfter,oldFarmsAfter,oldBusinessPartnersAfter,status
"90","Baringo","488","Mogotio Sub County","1451","Mogotio","3","3","0","3","0","0","0","MIGRATED"
"90","Baringo","489","Koibatek Sub County","1449","Koibatek","6","6","0","6","0","0","0","MIGRATED"
"90","Baringo","526","Baringo Central Sub County","1446","Baringo Central","5","5","0","5","0","0","0","MIGRATED"
"90","Baringo","527","Marigat Sub County","1450","Marigat","4","4","0","4","0","0","0","MIGRATED"
"90","Baringo","532","Baringo North Sub County","1447","Baringo North","5","5","0","5","0","0","0","MIGRATED"
"86","Bomet","449","Konoin Sub County","1490","Konoin","5","5","0","5","0","0","0","MIGRATED"
"86","Bomet","544","Sotik Sub County","1491","Sotik","5","5","0","5","0","0","0","MIGRATED"
"86","Bomet","545","Chepalungu Sub County","1489","Chepalungu","5","5","0","5","0","0","0","MIGRATED"
"86","Bomet","546","Bomet East Sub County","1488","Bomet East","5","5","0","5","0","0","0","MIGRATED"
"86","Bomet","547","Bomet Central Sub County","1492","Bomet Central","5","5","0","5","0","0","0","MIGRATED"
"53","Bungoma","279","Cheptais Sub County","1516","Cheptais","4","4","0","4","0","0","0","MIGRATED"
"62","Busia","406","Bunyala Sub County","1522","Bunyala","4","4","0","4","0","0","0","MIGRATED"
"85","Elgeyo Marakwet","446","Marakwet East sub-county","1438","Marakwet East","4","4","0","4","0","0","0","MIGRATED"
"85","Elgeyo Marakwet","460","Keiyo South Sub County","1437","Keiyo South","6","6","0","6","0","0","0","MIGRATED"
"85","Elgeyo Marakwet","523","Marakwet West Sub County","1439","Marakwet West","6","6","0","6","0","0","0","MIGRATED"
"85","Elgeyo Marakwet","554","Keiyo North Sub County","1436","Keiyo North","4","4","0","4","0","0","0","MIGRATED"
"89","Embu","455","Mbeere North  Sub County","1332","Mbeere North","3","3","0","3","0","0","0","MIGRATED"
"89","Embu","549","Mbeere South  Sub County","1331","Mbeere South","5","5","0","5","0","0","0","MIGRATED"
"60","Garissa","397","Ijara Sub County","1285","Ijara","2","2","0","2","0","0","0","MIGRATED"
"60","Garissa","536","Dadaab Sub County","1281","Dadaab","6","6","0","6","0","0","0","MIGRATED"
"48","Isiolo","255","Isiolo Sub County","1310","Isiolo","5","5","0","5","0","0","0","MIGRATED"
"48","Isiolo","519","Merti Sub County","1311","Merti","2","2","0","2","0","0","0","MIGRATED"
"48","Isiolo","520","Garbatulla Sub County","1309","Garbatulla","3","3","0","3","0","0","0","MIGRATED"
"92","Kajiado","468","Kajiado Central Sub County","1477","Kajiado Central","5","5","0","5","0","0","0","MIGRATED"
"92","Kajiado","470","Kajiado West Sub County","1479","Kajiado West","5","5","0","5","0","0","0","MIGRATED"
"92","Kajiado","528","Loitokitok Sub County","1480","Loitokitok","5","5","0","5","0","0","0","MIGRATED"
"56","Kericho","473","Bureti Sub County","1483","Bureti","7","7","0","7","0","0","0","MIGRATED"
"82","Kiambu","427","Githunguri Sub County","1399","Githunguri","5","5","0","5","0","0","0","MIGRATED"
"82","Kiambu","429","Kiambaa Sub County","1402","Kiambaa","5","5","0","5","0","0","0","MIGRATED"
"82","Kiambu","431","Kabete Sub County","1401","Kabete","5","5","0","5","0","0","0","MIGRATED"
"82","Kiambu","435","Lari Sub County","1405","Lari","5","5","0","5","0","0","0","MIGRATED"
"82","Kiambu","436","Gatundu South Sub County","1398","Gatundu South","4","4","0","4","0","0","0","MIGRATED"
"82","Kiambu","437","Gatundu North Sub County","1397","Gatundu North","4","4","0","4","0","0","0","MIGRATED"
"82","Kiambu","438","Juja Sub County","1400","Juja","5","5","0","5","0","0","0","MIGRATED"
"82","Kiambu","448","Ruiru Sub County","1407","Ruiru","8","8","0","8","0","0","0","MIGRATED"
"82","Kiambu","539","Kikuyu Sub County","1404","Kikuyu","5","5","0","5","0","0","0","MIGRATED"
"82","Kiambu","540","Limuru Sub County","1406","Limuru","5","5","0","5","0","0","0","MIGRATED"
"73","Kilifi","423","Rabai Sub County","1270","Rabai","4","4","0","4","0","0","0","MIGRATED"
"73","Kilifi","476","Kaloleni Sub County","1264","Kaloleni","4","4","0","4","0","0","0","MIGRATED"
"73","Kilifi","478","Ganze Sub County","1263","Ganze","4","4","0","4","0","0","0","MIGRATED"
"73","Kilifi","479","Malindi Sub County","1269","Malindi","5","5","0","5","0","0","0","MIGRATED"
"73","Kilifi","480","Magarini Sub County","1268","Magarini","6","6","0","6","0","0","0","MIGRATED"
"75","Kirinyaga","380","Kirinyaga East Sub County","1385","Kirinyaga East","5","5","0","5","0","0","0","MIGRATED"
"75","Kirinyaga","403","Kirinyaga Central Sub County","1384","Kirinyaga Central","4","4","0","4","0","0","0","MIGRATED"
"93","Kisumu","471","Kisumu East Sub County","1535","Kisumu East","5","5","0","5","0","0","0","MIGRATED"
"93","Kisumu","477","Kisumu Central Sub County","1536","Kisumu Central","6","6","0","6","0","0","0","MIGRATED"
"93","Kisumu","484","Kisumu West Sub County","1537","Kisumu West","5","5","0","5","0","0","0","MIGRATED"
"93","Kisumu","494","Seme Sub County","1538","Seme","4","4","0","4","0","0","0","MIGRATED"
"93","Kisumu","496","Muhoroni Sub County","1539","Muhoroni","5","5","0","5","0","0","0","MIGRATED"
"68","Kitui","399","Kitui West  Sub County","1337","Kitui West","4","4","0","4","0","0","0","MIGRATED"
"84","Kwale","443","Msambweni Sub County","1260","Msambweni","4","4","0","4","0","0","0","MIGRATED"
"84","Kwale","444","Lunga Lunga Sub County","1258","Lunga Lunga","4","4","0","4","0","0","0","MIGRATED"
"84","Kwale","445","Matuga Sub County","1259","Matuga","5","5","0","5","0","0","0","MIGRATED"
"84","Kwale","447","Kinango Sub County","1257","Kinango","7","7","0","7","0","0","0","MIGRATED"
"91","Laikipia","464","Laikipia West Sub County","1457","Laikipia West","6","6","0","6","0","0","0","MIGRATED"
"91","Laikipia","465","Laikipia East Sub County","1455","Laikipia East","5","5","0","5","0","0","0","MIGRATED"
"91","Laikipia","529","Laikipia North Sub County","1456","Laikipia North","4","4","0","4","0","0","0","MIGRATED"
"50","Machakos","264","Athi River Sub County","1351","Athi River","4","4","0","4","0","0","0","MIGRATED"
"50","Machakos","265","Machakos Sub County","1355","Machakos","7","7","0","7","0","0","0","MIGRATED"
"63","Mandera","521","LAFEY","1298","Lafey","5","5","0","5","0","0","0","MIGRATED"
"55","Mombasa","426","Kisauni  Sub County","1253","Kisauni","7","7","0","7","0","0","0","MIGRATED"
"55","Mombasa","458","Nyali  Sub County","1256","Nyali","5","5","0","5","0","0","0","MIGRATED"
"55","Mombasa","466","Mvita  Sub County","1255","Mvita","5","5","0","5","0","0","0","MIGRATED"
"55","Mombasa","475","Likoni  Sub County","1254","Likoni","5","5","0","5","0","0","0","MIGRATED"
"76","Murang'a","393","Kandara Sub County","1396","Kandara","6","6","0","6","0","0","0","MIGRATED"
"76","Murang'a","394","Gatanga Sub County","1394","Gatanga","6","6","0","6","0","0","0","MIGRATED"
"76","Murang'a","537","Kangema Sub County","1390","Kangema","3","3","0","3","0","0","0","MIGRATED"
"79","Nairobi City","490","Kibra  Sub County","1576","Kibra","5","5","0","5","0","0","0","MIGRATED"
"79","Nairobi City","493","Kasarani  Sub County","1575","Kasarani","5","5","0","5","0","0","0","MIGRATED"
"79","Nairobi City","511","Makadara  Sub County","1578","Makadara","4","4","0","4","0","0","0","MIGRATED"
"79","Nairobi City","512","Kamukunji  Sub County","1574","Kamukunji","5","5","0","5","0","0","0","MIGRATED"
"79","Nairobi City","514","Mathare  Sub County","1579","Mathare","6","6","0","6","0","0","0","MIGRATED"
"79","Nairobi City","525","Langata  Sub County","1577","Lang'ata","5","5","0","5","0","0","0","MIGRATED"
"77","Nakuru","412","Gilgil Sub County","1459","Gilgil","5","5","0","5","0","0","0","MIGRATED"
"77","Nakuru","430","Kuresoi North  Sub County","1460","Kuresoi North","4","4","0","4","0","0","0","MIGRATED"
"77","Nakuru","433","Subukia  Sub County","1469","Subukia","3","3","0","3","0","0","0","MIGRATED"
"77","Nakuru","434","Rongai  Sub County","1468","Rongai","5","5","0","5","0","0","0","MIGRATED"
"77","Nakuru","440","Nakuru North  Sub County","1465","Nakuru North","5","5","0","5","0","0","0","MIGRATED"
"77","Nakuru","457","Nakuru West  Sub County","1466","Nakuru West","6","6","0","6","0","0","0","MIGRATED"
"77","Nakuru","461","Nakuru East  Sub County","1464","Nakuru East","5","5","0","5","0","0","0","MIGRATED"
"88","Nandi","452","Nandi East Sub County","1442","Nandi East","5","5","0","5","0","0","0","MIGRATED"
"88","Nandi","454","Chesumei Sub County","1440","Chesumei","5","5","0","5","0","0","0","MIGRATED"
